SKU,ListID,MPN,SalesPrice,QuantityOnHand
ECNA-DC-2P-W,80000FC5-1519340067,DC-Pair,4.5,-2
ECTL-DM24C3AXGE,80000B57-1460565951,LT-880,199.5,1
ECTL-DM3C6A-BT,80000DBA-1499294493,LT-851-6A,37.5,0
ECTL-DM3C6A-RJ,80001083-1528811196,LT-853-6A,37.5,0
ECTSK-RFRC3C4A,80001723-1633986274,V3,28.5,6
ECTL-DM4C5A-BT,80001000-1520618547,LT-854-5A,45.5,2
ECTL-DM4C5A-RJ,80000DB9-1499294239,LT-858-5A,45.5,4
ECTSK-RM1C4ZB,800018C9-1680877799,RT6,40.52,4
ECTSK-RM1C1ZW,800018C8-1680877768,R11-W,40.52,14
ECTSK-RM1C1ZB,800018C7-1680877751,R11-B,40.52,8
ECTSK-RFRC4C5A,80001724-1633986474,V4,28.5,12
ECTSK-RFRC1C15A,80001725-1633986789,V1-L,28.5,15
ECTSK-ST32C1A,8000185D-1663689029,ES32,185.99,2
ECTSK-TWRC5C6A,8000175B-1640129212,WT-L(WT),28.5,21
ECTSK-TWRC2C5A,80001A54-1723150554,WT1,28.5,7
ECTSK-TWRC5C3A,80001728-1633987562,WT5,28.5,15
EMO-LI3B25W-70K,80001647-1614267400,MAT13F-7000K,19.99,8.5
EMO-LI3B20W-RGBW,80001648-1614268858,MH743W-RGBW,19.99,20
ECTSU-RC4C5A,80000D41-1493395320,SR-1009FA,65.99,7
ECTSU-RC1C8A,80000D40-1493395266,SR-1009CS,31.75,0
ECTSU-WM3C2,80000D43-1493407639,SR-2830RGB(US),68.99,1
ECTSU-WM4C1,800014C2-1585866013,SR-2820US3,72.99,0
ECTSU-WM1C,80000D3E-1493394913,SR-2836(US),34.24,0
ECTSU-WI-RF,80000D42-1493395580,SR-2818WiN,85.25,0
WE-SCL-GSY10,80001336-1559768610,SCL-GSY10,22.9,0
ECNA-BT-2PO-2R,8000179C-1648057857,BT-2PO-2R,3.99,5
ECNA-BT-5PO-2R,80001628-1611595757,BT-5PO-2R,3.99,0
ECNA-BT-4PO-2R,800015A8-1599173929,BT-4PO-2R,3.99,6
EHB-EUG1015W50K,800018A5-1675372554,8EHB-100/150W-120V-50K,136,0
EHB-CUF100W50K,80000ED5-1510157921,5EHB-100W-120V-50K,210.99,0
EHB-CUF150W50K,800010F5-1536164567,5EHB-150W-120V-50KPK,214.5,0
EHB-CUF150W50K-W,800014DC-1588954860,5EHB-150W-120V-50K-W,214.5,0
EHB-EUG2024W50K,800018A6-1675372595,8EHB-200/240W-120V-50K,216,0
EHB-CUF200W50K,800010F6-1536164633,5EHB-200W-120V-50K,259.99,0
EHB-CUF200W50K-W,800014EA-1590442620,5EHB-200W-120V-50K-W,259.99,0
EHB-CUF240W50K,8000115D-1541452825,5EHB-240W-120V-50K,219.99,0
EHB-CUF240W50K-W,800015EF-1604078461,5EHB-240W-120V-50K-W,259.99,0
EHB-EUG-OS,800018A7-1675372738,8EHB-LHBV4-Sensor,56,8
SUP-C2R4N50W0860,800019D8-1713551779,LS-COB-480-24-6000,31.25,1
SUP-2R4N95W1040,80001A21-1718999125,LS-240-24-LL-4000,79,7
SUP-2R4N95W1030,80001ADB-1729258661,LS-240-24-LL-3000,79,0
ESPCA3R4N70W10RG,80001AF6-1731595055,FE14C-P0-G1-COBRGB24V840S10L05,49.99,0
ESPC3R4N90W12RW,800019E2-1715031508,FE18C-P0-G1COBRGBW24V840SW12L05,89.99,0
ESPFC4R4N50W0830,800019C6-1710259619,FE10W-P0-G1COB93024V528S1W08L05,42,22
ESPFC4R4N50W0840,800019C7-1710259634,FE10W-P0-G1COB94024V528S1W08L05,42,47
ESPFC4R4N50W0860,800019C9-1710259709,FE10W-P0-G1COB96024V528S1W08L05,42,18
ESP2V2-S20-0630K,80000E08-1503353089,LD-FLW-RS2835W-12-60S,34.5,0
ESP2V2-S20-0660K,80000E07-1503352755,LD-FLW-RS2835W-12-60S,34.5,0
ESPS3R2N36W10RG,80001924-1689787407,LD-FLW-R5050RGB-12-30S,15.99,0
ESPS3R2W36W10RG,80001929-1689791630,LD-FLW-S5050RGB-12-30S,15.99,0
ESPS4R2N60W10RG,80001925-1689787426,LD-FLW-R5050RGB-12-60S,19.99,1
ESPS4R2W60W10RG,8000192A-1689791640,LD-FLW-S5050RGB-12-60S,39.99,0
ESPS5R4N90W12RG,80001928-1689791592,LD-FLW-R5050RGB-24-120S,39.99,12
ESPS5R4W90W12RG,8000192C-1689791678,LD-FLW-S5050RGB-24-120S,75.99,0
ECTL-DMCT1,80000DB8-1499293779,LT512,216.5,0
